GRB160721A_ML 04409 25.31812 -67.95393 0.0 0.0 2016-07-21 19:20:58.500  206824858.50000003 2.29943 111.03407 68.02031 7.76102 6.60743 644.87440 5.96178 -79.69496   EARTH_OCCULTED   70.16586  114.74054  -49.24338   68.33956
GRB160712A_1  0.00000 0.00000 304.16 -26.958 2016-07-12 19:53:41.0  206049221.00000003 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000      59.96744   31.57678   55.84000   42.16975
GRB160712A_1  0.00000 0.00000 304.16 -26.958 2016-07-12 19:53:41.0  206049221.00000003 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000      59.96744   31.57678   55.84000   42.16975
GRB160721A_ML 04409 25.31801 -67.95388 38.15 34.52 2016-07-21 19:20:59  206824859.00000003 2.29923 111.03412 68.02023 7.74014 6.58656 644.87370 5.96275 -79.63734   VISIBLE  102.92752   76.87942  135.31813  103.26195
GRB200420A 24660 80.13580 -71.91888 310.3 -27.5 2020-04-20 02:32:58  325045979.0 140.73563 90.17156 81.66904 11.28208 10.12545 634.77530 -3.61656 8.06456   VISIBLE   74.77590   84.36260   19.84733   74.70537
GRB151011A 00193 83.38583 22.01141 258.35 -9.64 2015-10-11 03:15:27  182229327.00000003 2.06070 113.47928 93.18639 -38.60224 -39.75534 646.49176 -1.85221 -148.40233   VISIBLE  166.71803   65.81128  174.47536  167.84793
GRB151212A 01117 280.52362 79.75497 68.1083 -3.7667 2015-12-12 14:00:27  187624827.0 -109.71535 103.47972 98.26474 41.55012 40.39519 640.38257 5.99925 6.00332   EARTH_OCCULTED  102.38428  166.51027 -102.72435  133.26786
GRB151216A 01180 324.41806 83.09879 323.9125 24.7667 2015-12-16 19:03:15  187988595.0 -148.01898 109.80281 92.37615 27.76890 26.61579 646.43710 -1.90878 10.14697   VISIBLE   58.33238   57.47961   41.07375   53.81314
GRB151221A 01244 283.67032 -78.89975 293.7327 21.8843 2015-12-21 02:51:13  188362273.00000003 106.91760 55.89182 102.15288 31.68379 30.52865 639.70930 -2.51177 -135.84508   VISIBLE  100.94437  333.57743  102.18478 -113.48773
GRB160102A  0.00000 0.00000 80.8375 -21.0333 2016-01-02 03:39:16  189401956.00000003 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000   EARTH_OCCULTED   81.45272  158.71905  -80.83750   67.50545
GRB160106A 01493 305.92136 34.04919 181.61 17.45 2016-01-06 22:45:31  189816331.0 -110.58672 59.29492 75.67046 64.84085 63.68578 639.91010 -5.21955 -175.63573   VISIBLE  106.12028  255.69397 -139.47070 -106.60816
GRB160127A 01795 26.40504 61.79999 225.9823 0.0729 2016-01-27 08:43:07  191580187.0 -160.60406 100.60127 105.81325 -6.07302 -7.23075 631.11980 -5.05125 -67.32270   VISIBLE  116.36649  272.56548  174.84001 -116.38936
GRB160228A 02274 325.90662 38.41625 107.3162 26.9318 2016-02-28 17:34:32  194376872.0 -71.44955 48.54589 107.24187 63.69655 62.53854 630.22370 -1.40320 -59.34598   VISIBLE  105.34086  126.23446 -114.89684  108.78376
GRB160307A 02382 307.81467 40.95706 0.0 0.0 2016-03-07 01:18:35  195009515.00000003 -42.19907 58.88333 54.66627 -6.03274 -7.19095 629.57770 4.93799 -96.25824   VISIBLE   62.41779   15.23565   61.56794   26.70470
GRB160324A 02643 237.26727 46.89736 0.0 0.0 2016-03-24 15:58:38  196531118.0 29.61825 112.68610 62.76033 63.54730 62.38903 629.35800 1.13365 146.55856   EARTH_OCCULTED  111.68347  355.52358  111.74363 -168.89445
GRB160406A 02834 230.91432 89.96043 261.797 32.363 2016-04-06 12:04:36  197640276.0 55.17848 83.33851 89.72721 54.00099 52.84757 645.39750 1.49846 104.47286   EARTH_OCCULTED   57.60304  245.71708  -32.94690  -55.15688
GRB160406B 02826 235.87202 89.95577 228.94 15.72 2016-04-06 00:32:38  197598758.00000003 49.30030 83.53375 92.01073 87.56222 86.40850 644.42303 -2.58008 -118.22898   EARTH_OCCULTED   74.23609  213.76618  -71.24391  -63.07416
GRB160525C 03561 169.00139 42.97748 0.0 0.0 2016-05-25 15:58:38  201887918.0 153.98865 86.98589 123.67142 -21.02445 -22.18104 634.89795 -3.32668 -153.71518   VISIBLE  135.90468  311.92415  147.08207 -144.21227
GRB160625B 04024 134.86082 -46.02032 308.5979 6.9189 2016-06-25 22:40:15  204590415.0 126.99181 78.24572 121.49599 43.37859 42.22248 636.48320 0.23769 176.59119   EARTH_OCCULTED  140.52631  152.81645 -143.77347  159.38171
GRB160625C 04013 134.86350 -46.01418 314.53 -73.26 2016-06-25 05:31:54  204528714.0 126.97977 78.57359 121.82474 23.00317 21.84796 639.44586 -2.71406 -124.91459   VISIBLE   60.72560  143.13035  -54.97988   46.94485
GRB160625D 04013 134.83821 -46.03164 127.13 -30.26 2016-06-25 05:45:56  204529556.00000003 126.96487 78.57219 121.80456 -12.59676 -13.75061 643.96204 2.55253 -76.87175   EARTH_OCCULTED   16.87624  346.55534   16.43903   -4.03470
GRB160705A  0.00000 0.00000 116.602 -14.589 2016-07-05 02:30:12  205381812.0 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000     115.68050  163.77021 -116.60200  149.83296
GRB160709B  0.00000 0.00000 266.45 57.82 2016-07-09 08:52:30  205750350.0 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000      91.88980  302.13041   93.55000  -92.23127
GRB160710A  0.00000 0.00000 41.47 -9.03 2016-07-10 05:34:37  205824877.0 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000      42.26723  166.50537  -41.47000   11.97454
GRB160711A  0.00000 0.00000 15.08 14.94 2016-07-11 23:13:07  205974787.0 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000      21.10471  225.72401  -15.08000  -15.44779
GRB160716A  0.00000 0.00000 190.4376 -61.351 2016-07-16 01:08:30  206327310.0 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000     118.13230   84.34755  169.56240  118.24858
GRB160716B  0.00000 0.00000 189.61 -68.04 2016-07-16 03:26:47  206335607.0 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000     111.63617   86.14906  170.39000  111.68059
GRB160717A  0.00000 0.00000 297.78 0.26 2016-07-17 19:31:11  206479871.00000003 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000      62.22031  359.70613   62.22000   -0.55783
GRB160822A 04878 83.63900 22.03167 272.129 3.584 2016-08-22 16:07:40  209578060.00000003 3.04451 65.71859 57.42504 57.21307 56.05656 635.18000 -5.48899 -76.64008   EARTH_OCCULTED  153.07197  105.94314 -172.05715  153.96883
GRB160908A 05122 85.89026 -41.08192 241.51 2.39 2016-09-08 03:15:03  211000503.00000003 10.29935 86.95616 118.69151 -22.78426 -23.94098 634.48160 1.21914 -143.17567   VISIBLE  135.50898  295.75252  156.88559 -138.49703
GRB160925A 05375 276.47113 -36.94564 348.37 -20.42 2016-09-25 05:18:55  212476735.0 -176.71837 92.81451 153.72420 -30.14965 -31.30661 633.69440 5.23782 -1.25339   VISIBLE   63.74199  170.06981  -63.39727   19.26794
GRB161207A 06457 212.98993 53.91945 294.81 -9.93 2016-12-07 05:22:45  218784165.00000003 -52.59647 84.33974 119.31189 -5.86436 -7.01841 643.29663 -6.02703 -82.81876   EARTH_OCCULTED   93.25789   40.17081   94.26030   95.04285
GRB161228A 06763 53.39642 -36.09684 115.82 25.76 2016-12-28 00:46:20  220581980.0 -131.63533 107.69981 119.13187 -9.80260 -10.95812 638.43020 -5.85219 162.16684   EARTH_OCCULTED   85.36321  168.41654  -85.26724   68.00542
GRB170101A  0.00000 0.00000 267.089 11.642 2017-01-01 02:25:58  220933559.0 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000   VISIBLE   92.85106  348.34337   92.91100 -103.84661
GRB170101B  0.00000 0.00000 70.64 -1.58 2017-01-01 02:47:18  220934839.00000003 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000   VISIBLE   70.64765  178.32536  -70.64000    4.75643
GRB170124A 07166 94.24183 9.29376 291.74 69.61 2017-01-24 05:42:12  222932533.0 -157.79669 147.27113 164.16039 -27.98278 -29.13734 641.62400 4.82017 98.61475   VISIBLE  100.16870  253.90623 -122.90426 -100.57430
GRB170412A 08330 183.46670 22.80138 201.75 25.28 2017-04-12 22:00:21  229730422.00000003 119.62997 143.87521 49.48221 23.13612 21.98122 640.49615 -5.51092 102.91588   VISIBLE   16.86652  252.49380   -5.21100  -16.12685
